pr;XML;Concurrency;HTTP;Memory;Network;CommandLine;OpenOffice Documents;Utils;Dependency;Throws;Logging;Latex;Data Structure;Test;JDK;Runtime;IO;Annotation ;UI;Security;Database;User Preferences;Data;Monitoring;Text Utility;Title;Body
1755;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;fixed name column rendering #1499 and #1531;fixed #1499 and #1531. better to format the author names before converting latex to unicode bah!  <img width= 368  alt= capture17  src=  > -   -   -   () -  -   ( []()?)
1756;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;moved a few more initialization to guiglobals.init();no point in having a static initializer when there is an init method that is called at startup or a single line just after the init method call. -  -   ( []()?)
1761;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;added more characters to converters;added a number of characters to the converters. sorted a bit so that it is easier to find the gaps.
1765;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;export to office 2007;first fix for #1750. i will continue reworking some other fields  too and will add some more tests.     --> -   -   -  -   ( []()?)
1766;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;added program to generate a table of all characters and fixed some ch…;i made a small program that generates a latex table with all characters in the converter. it prints the number  the character as unicode  \symbol{nnn}   the resulting latex symbol  and the latex code  see the attached file. in this way  we can make sure that all symbols makes sense (some of the current one were incorrect). also relates to #1761 which is not currently included.  i note two thing:  1) using  \usepackage[utf8]{inputenc}  did only work for accented characters. i had a version where i printed the unicode character in the table  but that only rarely worked  although they appeared nicely in the .tex-file 2) packages and fonts are a bit of a mystery. it may be that with a better font and maybe a few more packages  more symbols are shown. [chargen5.pdf]( -  -   ( []()?)
1769;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;fixed bibtexmlimporter;moved location of generated files from importer to logic.importer. will merge when the tests pass. -  manually tested changed features in running jabref
1770;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;implements #1767: add help button to access new help page;(refs #1767) -  manually tested changed features in running jabref
1772;0;0;0;0;1;0;0;1;1;1;1;0;1;0;0;0;1;0;1;0;1;1;0;0;0;removed/moved preferences which are constants;remove constant preference values.  relates to: 155
1773;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;added updatefieldpreferences;less dependency on jabrefpreferences in a small part of logic
1777;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;quickfix for import into current [shared] database;quickfix for the comments in   > jabref shows  aktualisierung verweigert. den eintrag  den sie zur zeit bearbeiten  ist auf der geminsam genutzen datenbank nicht mehr vorhanden.  for each entry.  and  > after the import  all entries appear twice.  bug occured due to change of a  bibentry  before adding it into local database.
1780;1;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;fix arxiv fetcher not working correctly;1776 remove cookie handler implementation our urldownload works without or own cookiehandler cookies  too.  edit// 3.5 worked partly for me with arxivid all unit test and manual tests work again.  i think the problem was that due to the inheritance  our cookie handler was called in every  connection. no idea why it failed with arxiv only. @stefan-kolb
1781;0;0;0;0;1;0;0;1;0;1;1;0;1;1;0;0;1;0;1;0;0;1;0;0;0;moved some logic preference instantiation to jabrefpreferences;less passing of jabrefpreferences for better long term architecture.
1782;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;1;0;0;0;0;0;0;removed one globals call from metadata;one further step towards a  globals -free  metadata .
1783;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;fix npe when closing the last tab;the (new?) focus feature lead to an npe when closing the last tab since there was no table to focus -   - introduced in dev version -  manually tested changed features in running jabref
1786;0;0;0;0;1;1;0;1;1;1;1;0;1;1;0;0;1;0;1;0;1;1;0;0;0;moved preference constants to jabrefpreferences and renamed;all preference constants should be in  jabrefpreferences .  relates to   also  renamed some variables (not the actual preference strings).
1787;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;removed entry preview toolbar;has been disabled since long so might as well remove the code.  also cleaned up the preferences a bit. -  
1790;0;0;0;0;1;0;0;1;0;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;made output of metadata.getencoding() optional;
1791;0;0;0;0;0;0;0;1;1;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;removed jabrefpreferences dependency in fileutil and removed timestamp;removed some jabrefpreferences dependencies in logic. move timestamp methods to entryeditor as they are only used there.  second part from #1731  -  manually tested changed features in running jabref
1793;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;some improvements to layoutformatterpreferences;some suggestions from by @koppor in #1695 which i didn t fully understand then. also final globals call in  logic removed.
1794;1;1;1;0;1;0;0;1;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;0;removed some warnings and findbugs issues;- renaming variables - closing resources - checking for null - removed deprecated method - added annotations - removed unused code -  manually tested changed features in running jabref
1796;0;0;0;0;1;0;0;1;0;1;1;0;1;1;0;0;1;0;1;0;0;1;0;0;0;removed jabrefpreferences from filehistory;-  manually tested changed features in running jabref
1797;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;improved main table rendering when using e.g.  title/author;earlier on a name formatter was used if any of the fields in a column contained person names  now it is determined by the used field. (marginally related to #1795  or at least one step towards a solution  figuring out which field actually was used.)  before: <img width= 432  alt= capture18  src=  >  after: <img width= 527  alt= capture19  src=  >  (as can be seen  the author/editor column is still rendered as it should.) -   -   () -  manually tested changed features in running jabref
1811;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;preview panel height is now saved immediately;the preview panel height is not stored when changed (only when jabref is closed) ### steps - selecting an entry (thus opening the preview panel) - changing the preview panel height - closing the preview panel - selecting an entry (thus opening the preview panel) - the preview panel has the old height  not the new one we just changed
1812;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1803 working directory is set to full path including filename;
1814;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;made output of bibdatabase.getpreamble() optional;the code was/is a bit confusing since both null and    preamble are dealt with in the same way (not saved).
1816;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;when inserting a duplicate the right entry will be selected;when you insert a duplicate in your database the editor has the wrong entry linked. ### steps to reproduce - select an entry - copy and paste it ( ctrl+c  &  ctrl+v   leave the old entry selected) - now the entry editor is open  edit any value and you ll see that the lower duplicate has changed although the upper one is selected
1818;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;add check for obsolete database structure. add help popup.;issue:  -  -   ( [](  ~~tests for help.jabref.org may fail while  is not merged.~~  _screenshots:_ ![osd3](  ![migrate-pre-3 6-db](https://cloud.ent.com/assets/15609468/17874551/a81a5da4-68cc-11e6-9fd3-977a8642cb6b.png)
1819;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;removed globals.prefs init in some logic tests;
1822;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;integrity checker for fields with keys;checks field containing keys so that an entry with the key exists. -   -   -  -   ( []()?)
1823;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;fixed #1804: url field is not removed by integrity check;better to disable the check than remove the field from the entry.  -)  1804  -   -   (one may think of adding a test that no fields are removed from the entry in the integrity check  but i haven t done that here  ideally the entry should have every possible field included) -  -   ( []()?)
1826;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;disable incompatible properties for shared database;issue:   > database properties dialog: >     do not show  save sort order  - database sorts arbitrarily :innocent: >     do not show  database protection  - makes no sense in a shared database setting  ~~depends on:  and  -  manually tested changed features in running jabref
1828;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;1;0;1;0;0;0;0;0;0;made metadata.getgroups return optional;-   (sort of  at least that it returns an optional.empty() when nothing is set) -  manually tested changed features in running jabref
1830;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;1;0;1;0;1;0;0;0;0;made bibdatabasecontext.getdatabasefile() return optional;plus one (or two  i couldn t confirm the second but i think there will be an npe if starting jabref with an already existing file as an argument and an unsaved (untitled) database open) bug fixes.  this also includes #1782 as i messed up a bit -   -  -   ( []()?)
1832;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0; word cloud generation;a totally not required feature  but still quite fun (or at least requested):  <img width= 513  alt= capture22  src=  >  try it out at    many things must be improved before i remove the . now it resides in the tools menu as two hard coded items. -   -   -   () -  -   ( []()?)
1837;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1687  month  field ascending/descending sorting swapped;when sorting according to  month    ascending / descending  are switched. -   -   -  manually tested changed features in running jabref
1838;1;0;0;0;1;0;0;1;1;0;1;0;1;1;0;0;1;0;1;0;0;0;1;0;1;added more field constants;i removed the field  search  which didn t seem to be used. (removed as didn t add explicit support for it  it should show up if someone uses it anyway.)  also renamed  fieldproperties  to  fieldproperty  and the method  getfieldextra  to  getfieldproperties .  all bibtex and ieee-fields are now included in  fieldnames .
1840;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;preview panel height is not saved after the preferencesdialog has closed;follow up to #1811.  i didn t consider that the splitpane is reinitialized each time the preferencesdialog is closed (then the listener would get lost and the divider position wouldn t get saved anymore).  this fixes that.
1842;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;some more optional;- parserresult.getfile() - author.getfirst()  getvon()  getjr()  and getlast()  some minor clean ups in htmlchars and latextounicodeformatter  also fixed an npe when the pattern  authfirstfull  is used and the author does not have a von-part.
1844;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;cleanup of some import tests;fixes some encoding problems when running gradle check on win -   -   -   () -  -   ( []()?)
1845;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;fix localization entry.;replace determinated with terminated in  en .
1848;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;allow setting the etal-string empty. implements #1841;earlier it was not allowed to set the etal-string in the authors layout formatter to be empty. however  as clear from #1841 there is at least one use case for it and it is not obvious why it wasn t allowed earlier.  a side note: it is still not allowed to set sep and lastsep empty. maybe there are good reasons for that? -   -   -   ( []()?)
1852;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;optional result from string to integer conversion;
1856;0;0;0;0;1;0;0;1;0;1;1;0;1;1;0;0;1;0;1;0;0;1;0;0;0;removed globals from bibdatabasecontext;this almost worked. the penalty was that i had to (temporarily) introduce it in  fileutil. where the arbitrary extension line makes it extremely cumbersome to get around it.
1857;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;fixed npe when loading a style file that has no default style;found when trying #1841 although non-related. -   -  -   ( []()?)
1860;0;0;1;0;1;0;0;1;0;0;1;0;1;1;0;1;1;0;1;0;0;0;1;0;0;some minor cleanups;
1861;0;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0; cleanup fileutil class and related things;rework/cleanup fileutil -   -   -   -  uniquepathsubstrings
1865;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;fixed #1663 better multi-monitor support;-  location of windows is keep also for multi-monitor setups -  location of window is only reverted when it is not displaybale (no multi-monitor anymore/wrong preferences) -  removed duplicate maximized state logic -  dialogs are centered as overlay over the main window not always on the main screen  @jabref/developers please try on your multi-monitor setup @ work and or a @ home.  - the location of the windows should stay the same or should be adapted to a visible alternate location.  - also the maximized state should be remembered correctly on all monitors. - do you see any dialogs that are not correctly centered in multi monitor scenario (jabref on 2nd screen  dialog on main screen)
1867;0;0;0;0;1;0;0;1;0;1;1;0;1;1;0;0;1;0;1;0;0;1;0;0;0;removed last globals dependency in metadata;still a bit of logic dependencies left to be able to move to model.  all globals dependencies in  logic -test except one is now gone  so it is not possible to add an architecture test yet. it is only the globals dependency of externalfiletype that remains (good to be able to move external to logic and gui as well).
1868;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;moved one method from external and fixed some minor things;move regexpfilesearch  two preference constants and removed an ignored test that wasn t close to passing (there is no trace of any nameformatter/layout in regexpfilesearch).
1869;0;0;0;0;0;0;0;1;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;download many files in one go;implements #1496 and also allows selecting multiple documents to find full text documents for. i think that it doesn t always show a dialog for every failed files when having multiple ongoing downloads.  please try it out at  -   -  -   ( []()?)
1870;1;1;1;0;1;0;1;1;1;0;1;0;1;1;0;1;1;0;1;1;1;0;1;0;1;fixed some minor things and removed the final bibentry.getfield();some minor code issues found while browsing the source and checking warnings.  as all  bibentry.getfield()  calls were removed  i also renamed  getfieldoptional()  to  getfield() .
1872;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;removed some globals in tests;and in parts of shared (to possibly allow easier refactoring to gui/logic later).  (not sure if the database tests will actually pass  so better wait until everything is green
1874;1;1;0;0;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;moved bibdatabasecontext and metadata to model;not working because of grouptreenode being in logic. any ideas how to solve this? (not obvious where to set the cut between logic.groups and model here.)  the parsing and serialization is moved out from metadata  which looks a bit ugly. the alternative is to move quite a bit of classes to model  so i went for the other approach. -   -   -   () -  -   ( []()?)
1883;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0; show pdf-comments in jabref;extract comments from linked pdf-files and show them in jabref.  see here for related issues:   -   -   () -  -   ( []) -  internal qs  features todo: -  show comments and highlight of multiple attached pdf-files   -  meta info inclusive -  open file at annotation position   -  windows   -  linux   -  macos -  cache loaded annotatons -  copy meta and content info to clipboard -  import annotations when tab is opened only (releasable proof-of-concept)
1884;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;improve duplicate detection;-  strict comparison does not care about entry type. is this intended?      java     @test     public void nostrictduplicatefordifferenttypes() {         bibentry e1 = new bibentry( 1    article )          bibentry e2 = new bibentry( 2    journal )          assertequals(0  duplicatecheck.compareentriesstrictly(e1  e2)  0.01)      }     -  correlate by words has a strange algorithm. only works good for words appended at the end of the string.      java      * compare two strings on the basis of word-by-word correlation analysis.      * todo: strange algorithm as when there are only words inserted this gives a bad value  e.g.       * a test -> this a test (0.0)      * characterization -> characterization of me (1.0)     -  we need a small benchmark for the duplicate testing  i.e.  a db that has all kinds of expected duplicates.
1885;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;doi fetcher using the new fetcher infrastructure;(please do not squash at merge to keep author ships - @koppor)  implement a new doi fetcher using the new fetcher infrastructure #1594  in this case  the two classes doitobibtex & doitobibtexfetcher has been merged into the new fetcher. -   -  manually tested changed features in running jabref
1888;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;do not mark a new database as changed;1881 . i missed an if-statement when inverting an if/else in #1830  - ~~ ~~ - introduced in development version only (fortunately) -  manually tested changed features in running jabref
1891;0;0;0;0;1;0;0;1;0;1;1;0;1;1;0;0;1;0;1;0;0;1;0;0;0;tests for makelabel and some cleanups in bibtexkeypattern prefs;improved tests for bibtexkeypatternutil and made some related changes (removed unused preference and move a gui class). -  
1893;0;0;0;0;1;0;0;1;1;1;1;0;1;1;0;0;1;0;1;0;1;1;0;0;0;fix invalid bibtexkey freeze;1882. reference: #1863. -   -  manually tested changed features in running jabref
1894;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;implemented title and camel key modifiers;implemented #1506  -   -   -   ( []()?)
1896;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;more tests and some cleanups of bibtexkeypatternutil;removed some unused/unnecessary code and added a number of tests. -  
1899;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;move files to subfolders in file directory;implementation for #1092    already implemented copy and move methods from #1861     -   -   -   () -  -   ( [](  ![jabreffiledirpattern](https://cloud.ent.com/assets/320228/20651008/ad235808-b4dc-11e6-9e1f-fe6175d5c4eb.png)
1900;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;initial tests for wrapfilelinks;
1906;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;check integrity year check added;#1897 added last four nonpunctuation characters should be numerals in check integrity year -   -   -  manually tested changed features in running jabref
1907;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0; fileutil: copy files using files methods;jabref now copies files by using java.nio package instead of java.io  see: 23
1909;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;fix location field not exported correctly to office 2007 xml;fix location field not exported correctly to office 2007 xml -   -  -   ( []()?)
1910;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;fix location field not exported to office 2007 xml;fix location field not exported to office 2007 xml -   -   -   () -  -   ( []()?)
1913;1;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;mark some methods as deprecated in bibentry and bibdatabase;   -->  changes are only in bibentry and bibdatabase (the rest are propagated renames / method signature changes). -   -   -   () -  -   ( []()?)
1914;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;check integrity edition check implemented;#1912 implemented a check for the field edition. the check differentiates between bibtex and biblatex mode of the database. -   -   -  manually tested changed features in running jabref
1915;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;improve find entry;i imroved the  findentry -method some more. now it always finds the correct entry (by searching it with the id and not with the canonical representation. ### steps to reproduce a situation in which the problem occurs - have multiple duplicates in a database - search them and open the results in the extra window - select one of the duplicates in the extra window but the first - in the main window always the first of the duplicates is selected
1917;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;introduce cell factory helper (javafx);   -->  it is relatively cumbersome to create custom (tree) table cells in javafx. the aim of this pr is to introduce helper classes which provide a simpler way to customize tables.  @jabref/stupro @jabref/stupro-qa please also review this pr  thanks. -   -   -   () -  -   ( []()?)
1918;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;0;1;0;0;0;0;0;0;improve localizionconsistencytest to include javafx files;   -->  the fxml files may contain localized strings in the form  <label text =  %localized description >  (and not  localization.lang( localized description  )). i adapted the localizationparser to also look for these kind of strings. together with #1753  the javafx branch should now build without errors.  for some reason the managejournalabbreviationsview has some problems with localized strings  although the same code works for the other dialogs. this needs further investigations (not part of this pr). -   -   -   () -  -   ( []()?)
1919;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;translation of shared;the text  shared  after a shared database was not translated.
1923;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;ads fetcher using the new fetcher infrastructure;recreate the ads fetcher from ads using the new fetcher infrastructure #1594 -   -  manually tested changed features in running jabref
1924;0;1;0;0;1;0;0;1;1;1;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0; refactor externalfiletype;just got rid of some unused stuff. worth noting is that  iconname  is not really used anymore. still  it is saved  so maybe worthwhile to keep to avoid a third serialization format (which cannot be distinguished from the pre 2.4 version anyway).   if the icon can be configurable eventually  i m sure some of this will reappear  but until then.
1926;0;0;1;0;1;0;0;1;1;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;extract all integrity checker classes to it s own file;issue #1922 -   -  manually tested changed features in running jabref
1927;0;0;0;0;1;0;1;1;0;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;some oo/lo cleanups;removed deprecated calls  renamed a few variables  and restructured the code a bit.
1928;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;support citationstyles;implements #119.  the user can choose multiple citationstyles which he can cycle threw in the preview panel (forward with <kbd>f9</kbd>  backwards <kbd>shift</kbd> + <kbd>f9</kbd>  both are in the context menu and the menu bar) . as discussed i removed the 2nd preview. ### preview before:  ![preview_before]( ### preview after:  ![preview_after]( ### preferences before:  ![preferences_before]( ### preferences after:  ![preferences_after](  i didn t include the localization (other the english) on purpose because they create unnecessary conflicts when rebasing quite often (i push them when everything else is fine).  the help page has to be updated too. i do that as soon as this pr is merged. -   -   -   () -  -   ( [](  warning: currently i read the available citationstyles at runtime. i had problems reading them from the gradle dependency thus currently they are only found when jabref is started from the jar.
1929;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;new fetcher;   -->  a few new fetcher are introduced: - ads search based - mathscinet  - zentralblatt  also a bit of code was refactored (mainly to facilitate the development of fetcher).  -   -   -   () -  -   ( []()?)
1930;1;1;0;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;1;0;0;1;0;0;0;integrity check for note and howpublished field;in bibtex mode  the first word should be capitalized for the fields note and howpublished. in biblatex mode  there are no restrictions for these fields.  see also #1914 -   -   -  manually tested changed features in running jabref
1931;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;export number field as number if not patent or issue in office 07 xml;add : export key field (not to be confused with bibtexkey field)   add test for custom entry type and key field  refs #1851   documentation has to be updated.     --> -   -   -   () -  -   ( []()?)
1934;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;removed external dependency in logic;an alternative to #1924 : hard coded  ps  and  pdf  as file type names.  still some methods that can be removed in  externalfiletype  (the original thing done in #1924 .  i created three  gui  packages: -  externalfiletypes  for things related to  externalfiletype  -  externalfiles  for things (primarily) related to the actual files -  filelist  for things related to  filelist  -  
1935;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;reenable localization in journalabbreviationdialog;   --> -   -   -   () -  -   ( []()?)
1942;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;mods importer;regarding: #1920   adds an importer for the mods (xml) format. the importer is written with a jaxb parser. details on the format and the newest xml schema can be found [here]( i ve used the newest schema (version 3.6). -   -   -  manually tested changed features in running jabref
1944;0;1;0;0;1;0;1;1;1;1;1;0;1;0;0;1;1;0;1;0;0;1;0;0;0;try around with xmlunit;   -->  see #1943 for details  -   -   -   () -  -   ( []()?)
1947;1;1;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;0;redesigned about dialog in javafx;as discussed in #968 the about dialog is still not satisfying and therefore i redesigned it. the new design is a more flat like design with all important information in one place. the version still clickable and copies the version information to the clipboard and the logo is a hyperlink to www.jabref.org. i also changed the copied version string to include jabref  java and os version so it is the same as in the master branch.  ![screen shot 2016-09-10 at 14 59 58]( -   -   -   () -  -   ( []()?)
1948;1;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;fixed some warnings in eclipse;some code cleanups
1950;0;0;0;0;1;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;towards hierarchical keywords;   -->  this pr is the first step towards supporting hierarchical keywords #628.  -  refactor the keyword-related code to use new classes  keywordlist  and  keyword   -  unified keyword delimiter to be a single character and in this way fixed the issues mentioned in #705 and #1877 -  move keyword delimiter from preferences to metadata (database properties) -> new pr -  add hierarchical delimiter and change parsing logic in  keywordlist  accordingly -> new pr -  change ui to support hierarchical keywords -> new pr  note: i also moved the stringutil class to model (in some sense it is jabref s own string class) and removed entryutil (only had methods related to strings (-> stringutil) or keywords (-> keywordlist) ). -   -   -   () -  -   ( []()?)
1952;1;1;1;0;1;0;0;1;1;1;1;0;1;1;0;0;1;0;1;1;0;0;1;0;0;fix wrong path in error message;1949  an error message directs to the wrong preference tab. -   -   -   () -  -   ( []()?)
1953;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;add key shortcuts to search result frame and main table;- <kbd>pos1</kbd> / <kbd>home</kbd> now select the first/last entry in the main table and the search result frame. - <kbd>up</kbd> / <kbd>down</kbd> / <kbd>tab</kbd> / <kbd>shift+tab</kbd> in the search result frame have now the same functionality as in the main  table.
1955;1;1;0;0;1;0;1;1;1;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;0;merged master into javafx branch;updating javafx branch to include all the latest changes from the master branch. -   -   -   () -  -   ( []()?)
1961;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;fix when editing a bibentry field the searchbar would be focused;fix for #1549 ### steps to reproduce: - select a bibentry - edit a field - save the change (eg. click outside the field) - the searchbar would be focused
1962;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;minor improvements to the javafx about dialog;follow up of #1959. @bartsch-dev had a great idea to use his  version  class to get the changelog url since it already provides a method for it. i only adjusted it slightly so dev versions will be redirected to  links will also stay gighlighted after they have been visited.  ![normal version](  for snapshot versions a new label will be added for the complete version string. ![snapshot]( -   -   -   () -  -   ( []()?)
1964;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;first half of refactoring special fields;specialfield  is now free of gui-code and moved to logic. problem is that  specialfieldvalue  still relies on gui-code and to get rid of it  the code will be quite ugly i do not really have any good idea how to do that.  it was discussed moving it to model. however  there will be localization issues then  so i moved it to logic. -  manually tested changed features in running jabref
1965;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;removed last globals in logic tests and introduced architecture test;
1968;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;refactored remotepreferences;as logic should not reference  jabrefpreferences .
1969;0;0;0;0;1;1;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;refactored proxypreferences;fewer dependencies to  jabrefpreferences  in  logic .
1970;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1958: verbatim url field is no longer checked for html encoded chars;-   -   -  manually tested changed features in running jabref
1976;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;add search test;this pr updates  to the most resent jabref code. - tests for search expressions - ui test for the search  this could help create tests for a solution for #1975   meta: i found this using  (refs 1303)
1981;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;icon does not change when toggling global search;issue: #1979
1982;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;fix failing test from #1976;there was a failing test in #1976. this should fix it.
